,index,item_name,main_category,sub_category,unit_buying_price,unit_selling_price,unit_price_margin,quantity,investment,revenue,profit
6,6,3Kg Valencia Oranges,Fresh Produce,Citrus Fruits,2.0,4.5,2.5,1035.0,2070.0,4657.5,2587.5
30,30,Apples Fuji,Fresh Produce,Apples,0.0,3.9899999999998355,3.9899999999998355,2030.7699999999975,0.0,8102.772299999986,8102.772299999986
32,32,Apples Granny Smith,Fresh Produce,Apples,0.0,3.0,3.0,2447.337999999997,0.0,7342.014,7342.014
33,33,Apples Pink Lady,Fresh Produce,Apples,0.0,2.989999999999815,2.989999999999815,4273.473999999995,0.0,12777.68726000001,12777.68726000001
34,34,Apples Red Delicious,Fresh Produce,Apples,0.0,3.0,3.0,789.3640000000009,0.0,2368.092000000001,2368.092000000001
35,35,Apples Royal Gala,Fresh Produce,Apples,0.0,3.0,3.0,2476.8790000000035,0.0,7430.63699999998,7430.63699999998
37,37,Apricots,Fresh Produce,Stonefruits,0.0,3.9899999999998594,3.9899999999998594,782.5389999999999,0.0,3122.330610000004,3122.330610000004
48,48,Australian Asparagus Green,Fresh Produce,Bunch Vegies,2.0,2.7000000000000104,0.6999999999999992,1033.3220000000001,2066.6440000000002,2789.9694000000077,723.3253999999991
52,52,Avocado Hass Large,Fresh Produce,Avocadoes,1.5,2.5,1.0,2249.0,3373.5,5622.5,2249.0
53,53,Avocado Hass Medium,Fresh Produce,Avocadoes,3.0,1.990000000000008,-1.0099999999999927,1105.0,3315.0,2198.9500000000057,-1116.0499999999918
54,54,Avocado Shepard,Fresh Produce,Avocadoes,0.0,2.0,2.0,989.0,0.0,1978.0,1978.0
58,58,Baby Cos 2Pac,Fresh Produce,Lettuces,2.0,2.900000000000056,0.8999999999999844,1254.384,2508.768,3637.713600000055,1128.945599999995
61,61,Banana Cavendish,Fresh Produce,Bananas,2.0,1.9899999999997808,-0.009999999999996742,24348.693000000116,48697.38600000023,48453.89906999981,-243.48693000000011
81,81,Beans Green,Fresh Produce,Other Vegies,0.0,4.990000000000143,4.990000000000143,1422.583000000001,0.0,7098.689169999993,7098.689169999993
83,83,Beetroot,Fresh Produce,Root Vegies,0.0,2.989999999999885,2.989999999999885,843.9919999999995,0.0,2523.536079999998,2523.536079999998
89,89,Berries Strawberry (Large),Fresh Produce,Berries,3.3299999999999486,3.8000000000000944,0.47000000000001557,1675.0,5577.749999999912,6365.000000000102,787.2500000000193
90,90,Berries Strawberry (Medium),Fresh Produce,Berries,0.0,2.5,2.5,3444.0,0.0,8610.0,8610.0
122,122,Broccoli,Fresh Produce,Other Vegies,0.0,3.5,3.5,2544.839999999994,0.0,8906.939999999986,8906.939999999986
124,124,Broccoli Chinese 2 For 3.40,Fresh Produce,Deals,0.9900000000000069,3.4000000000000434,2.4100000000000246,735.0,727.6500000000052,2499.0000000000277,1771.3500000000165
142,142,Cabbage Half,Fresh Produce,Cut Veggies,0.0,3.0,3.0,978.0,0.0,2934.0,2934.0
143,143,Cabbage Quater,Fresh Produce,Cut Veggies,0.0,1.7000000000000064,1.7000000000000064,1374.0,0.0,2335.8000000000084,2335.8000000000084
147,147,Cabbage Wombok,Fresh Produce,Cabbages,3.75,1.5,-2.25,937.6640000000001,3516.240000000002,1406.4959999999992,-2109.7439999999997
154,154,Capsicum Green,Fresh Produce,Capsicum,0.0,4.989999999999815,4.989999999999815,1042.9999999999982,0.0,5204.570000000013,5204.570000000013
155,155,Capsicum Red,Fresh Produce,Capsicum,0.0,4.990000000000687,4.990000000000687,2407.5209999999925,0.0,12013.52979000001,12013.52979000001
162,162,Carrots,Fresh Produce,Carrots,0.0,1.6999999999998836,1.6999999999998836,2124.9780000000032,0.0,3612.46260000001,3612.46260000001
163,163,Carrots 1Kg,Fresh Produce,Carrots,0.8000000000000234,1.4899999999998719,0.6900000000000424,3638.0,2910.400000000096,5420.619999999555,2510.2200000001517
169,169,Cauliflower,Fresh Produce,Other Vegies,2.0,2.9899999999998412,0.9899999999999606,2787.136,5574.272,8333.536639999584,2759.264639999874
170,170,Cauliflower Half,Fresh Produce,Cut Veggies,0.0,2.0,2.0,1290.0,0.0,2580.0,2580.0
172,172,Celery,Fresh Produce,Bunch Vegies,0.0,2.989999999999847,2.989999999999847,2496.0,0.0,7463.039999999633,7463.039999999633
173,173,Celery Half,Fresh Produce,Cut Veggies,0.0,1.900000000000057,1.900000000000057,1706.0,0.0,3241.400000000097,3241.400000000097
178,178,Cherries,Fresh Produce,Other Fruits,0.0,15.990000000000393,15.990000000000393,1113.2929999999992,0.0,17801.555070000013,17801.555070000013
215,215,Choy Sum 2 For $ 1.99,Fresh Produce,Deals,2.0,1.9900000000000078,-0.00999999999999985,748.0,1496.0,1488.520000000006,-7.4799999999998885
249,249,Coriander,Fresh Produce,Herbs,0.0,1.9899999999998483,1.9899999999998483,4105.0,0.0,8168.949999999436,8168.949999999436
265,265,Crimson Grapes,Fresh Produce,Grapes,0.0,4.989999999999823,4.989999999999823,1710.3520000000012,0.0,8534.656479999992,8534.656479999992
269,269,Cucumber Continental,Fresh Produce,Cucumbers,0.0,1.5,1.5,5720.0,0.0,8580.0,8580.0
270,270,Cucumber Lebanese,Fresh Produce,Cucumbers,0.0,4.990000000000592,4.990000000000592,2476.144000000004,0.0,12355.958559999992,12355.958559999992
276,276,Curry Leaves,Fresh Produce,Herbs,0.0,2.0,2.0,1143.0,0.0,2286.0,2286.0
400,400,Dill,Fresh Produce,Herbs,0.0,3.0,3.0,880.0,0.0,2640.0,2640.0
424,424,Eggplant,Fresh Produce,Other Vegies,0.0,6.990000000000626,6.990000000000626,2797.4400000000032,0.0,19554.10559999999,19554.10559999999
437,437,Fennel,Fresh Produce,Other Vegies,0.0,1.7000000000000242,1.7000000000000242,949.0,0.0,1613.3000000000193,1613.3000000000193
442,442,Field Tomatoes,Fresh Produce,Tomatoes,1.6000000000001255,2.9900000000006735,1.3899999999998032,7428.811000000021,11886.097600000005,22212.144890000025,10326.047290000053
472,472,Garlic Chinese 500G,Fresh Produce,Onions,0.0,2.5,2.5,2512.0,0.0,6280.0,6280.0
503,503,Grapes Black,Fresh Produce,Grapes,0.0,3.9899999999998204,3.9899999999998204,2384.434,0.0,9513.891659999983,9513.891659999983
506,506,Grapes Sulthana,Fresh Produce,Grapes,2.0,4.989999999999851,2.989999999999898,939.2280000000005,1878.456000000001,4686.747720000001,2808.2917199999983
507,507,Grapes White Seedless,Fresh Produce,Grapes,0.0,2.989999999999846,2.989999999999846,2041.8709999999999,0.0,6105.194289999997,6105.194289999997
511,511,Green Kale Bunch,Fresh Produce,Bunch Vegies,1.5,3.0,1.5,903.0,1354.5,2709.0,1354.5
560,560,Kensington Pride Mango,Fresh Produce,Fruits,0.0,2.0,2.0,1907.234,0.0,3814.468,3814.468
561,561,Kensington Pride Mangoes Large,Fresh Produce,Fruits,0.0,3.0,3.0,1499.0,0.0,4497.0,4497.0
571,571,Kiwi Fruit Gold,Fresh Produce,Other Fruits,0.5,1.8000000000000074,1.300000000000007,870.0,435.0,1565.9999999999973,1130.9999999999986
572,572,Kiwi Fruit Green,Fresh Produce,Other Fruits,0.0,5.5,5.5,860.9139999999999,0.0,4735.026999999991,4735.026999999991
582,582,Leek,Fresh Produce,Other Vegies,1.0,2.0,1.0,3815.0,3815.0,7630.0,3815.0
584,584,Lemon,Fresh Produce,Citrus Fruits,0.0,2.9899999999998244,2.9899999999998244,1879.221000000005,0.0,5618.870789999984,5618.870789999984
591,591,Lettuce Iceberg,Fresh Produce,Lettuces,0.0,2.5,2.5,5812.0,0.0,14530.0,14530.0
640,640,Mandarin Imperial,Fresh Produce,Citrus Fruits,1.0,2.5,1.5,4121.469999999995,4121.469999999995,10303.674999999957,6182.205000000013
695,695,Mint Fresh,Fresh Produce,Herbs,0.0,2.2999999999999714,2.2999999999999714,764.0,0.0,1757.19999999998,1757.19999999998
721,721,Mushroom Cup,Fresh Produce,Mushrooms,5.0,8.990000000000661,3.9899999999998155,933.1770000000026,4665.884999999999,8389.261229999976,3723.3762300000026
737,737,Navel Oranges 3Kg,Fresh Produce,Citrus Fruits,3.5,3.989999999999891,0.4900000000000063,1112.0,3892.0,4436.879999999882,544.8800000000065
738,738,Nectarine White,Fresh Produce,Stonefruits,1.1999999999999136,2.9899999999998226,1.7899999999999672,3209.975000000004,3851.9699999999943,9597.82524999999,5745.8552500000105
739,739,Nectarine Yellow,Fresh Produce,Stonefruits,0.0,2.989999999999842,2.989999999999842,1899.376000000001,0.0,5679.134240000004,5679.134240000004
747,747,Okra,Fresh Produce,Asian Vegies,8.34999999999975,9.990000000000547,1.639999999999997,1004.2049999999997,8385.111749999985,10032.007949999996,1646.8961999999974
753,753,Onion Brown,Fresh Produce,Onions,0.0,1.9899999999998423,1.9899999999998423,2267.3190000000004,0.0,4511.964810000002,4511.964810000002
758,758,Onion Red,Fresh Produce,Onions,0.0,2.9899999999998346,2.9899999999998346,1292.6350000000007,0.0,3864.9786500000055,3864.9786500000055
759,759,Onion Red 2Kg,Fresh Produce,Onions,2.0,4.5,2.5,1062.0,2124.0,4779.0,2655.0
762,762,Onion Spring,Fresh Produce,Bunch Vegies,0.5999999999999459,1.5,0.9000000000000293,5586.0,3351.599999999743,8379.0,5027.399999999927
765,765,Orange Navel,Fresh Produce,Citrus Fruits,0.0,2.989999999999832,2.989999999999832,3451.1040000000007,0.0,10318.80096000001,10318.80096000001
767,767,Orange Valencia,Fresh Produce,Citrus Fruits,0.0,2.5,2.5,936.5539999999991,0.0,2341.3849999999993,2341.3849999999993
770,770,Pac Choy,Fresh Produce,Asian Vegies,0.5,0.8999999999999864,0.3999999999999978,927.0,463.5,834.2999999999887,370.79999999999774
771,771,Pac Choy 3 For $2.,Fresh Produce,Deals,1.8000000000000411,2.0,0.1999999999999936,1746.0,3142.8000000000684,3492.0,349.19999999998896
780,780,Papaya Red,Fresh Produce,Tropical Fruits,0.0,5.0,5.0,2128.8199999999993,0.0,10644.099999999977,10644.099999999977
785,785,Parsley Continental,Fresh Produce,Herbs,0.0,1.7000000000000173,1.7000000000000173,1515.0,0.0,2575.4999999999986,2575.4999999999986
793,793,Passionfruit 2 For $2,Fresh Produce,Deals,1.0,2.0,1.0,818.0,818.0,1636.0,818.0
803,803,Peach Clingstone,Fresh Produce,Stonefruits,0.0,3.9899999999998643,3.9899999999998643,1188.2710000000015,0.0,4741.201290000003,4741.201290000003
